source,x,percent,conc,dich
non-skim,14.339524353447787,9,27.8,Low
non-skim,12.61982251051672,9,23.7,Low
non-skim,18.308708314149126,12,31.5,Low
non-skim,15.320508391424577,12,28.5,Low
non-skim,17.529287735160946,12,32.8,Low
non-skim,19.71506498688328,15,34,Low
non-skim,15.610916205989202,15,28.3,Low
non-skim,15.034938765393466,18,30.6,Low
non-skim,16.663147148106475,18,32.7,Low
non-skim,17.404338029900043,18,33.7,Low
non-skim,21.87408179743946,9,39.3,High
non-skim,18.75981382705736,9,34.8,Low
non-skim,16.300771450594052,9,29.8,Low
non-skim,21.01068271594512,12,39.8,High
non-skim,20.444158865245925,12,40,High
non-skim,22.33691313680308,12,39.1,High
non-skim,20.74785047822924,15,38.5,High
non-skim,18.633382843370363,15,39.2,High
non-skim,21.701355901563687,15,40,High
non-skim,21.977208592272063,18,42.9,High
skim,19.232176294013154,9,40.6,High
skim,15.282025085341704,9,31,Low
skim,16.27399555169276,9,34.6,Low
skim,20.72110877070886,12,42.9,High
skim,24.424960732150744,12,50.1,High
skim,17.013306689257586,12,37.4,High
skim,30.587787044494526,15,59.5,High
skim,20.853373117836515,15,41.4,High
skim,28.761863062988052,18,59.8,High
